Gene,log2FoldChange,padj
CDCA8,4.273718714,3.32393373802498e-308
TPX2,4.606826424,4.75498792000695e-307
AURKA,3.840795607,3.55179419948106e-305
PLK1,4.480432277,9.66903097968758e-305
NUF2,4.807174011,2.33594354837375e-282
CDCA3,4.343926887,2.9880645390773e-282
KIF2C,4.537579111,3.41995447326275e-277
KIFC1,4.241313437,1.19851650372281e-271
CDC20,4.936071244,1.15395652820516e-268
MTFR2,3.926376461,1.15395652820516e-268
SKA1,4.47994849,9.20635717171759e-268
CCNB1,3.206134671,4.74352649265524e-266
CDCA5,4.086267524,1.13633503574914e-263
HJURP,4.632609965,1.78034878559142e-263
CENPA,4.60346319,1.31000566744439e-261
UBE2C,5.283465577,2.28115688994911e-261
PRR11,3.662956889,1.37024280064995e-258
NDC80,4.423187553,3.00346018554186e-257
UBE2T,3.98609617,1.03053537810716e-255
CCNB2,4.145594844,3.29983694494008e-255
KIF4A,4.73479751,5.8743847502294e-250
CEP55,4.473655756,3.61117017730695e-249
FAM83D,4.500827467,9.11892691966013e-246
PTTG1,4.210250829,4.57424846015371e-245
CDK1,3.841999427,2.1880545876061e-244
MELK,4.711030129,4.92365718552097e-244
CCNE1,4.159221123,1.02206234820191e-240
GTSE1,4.15305194,2.02353228782373e-240
BUB1,4.410578132,8.63804834815564e-236
FOXM1,4.730847868,1.29689936797598e-235
AURKB,4.678329446,1.81416256142702e-235
TTK,4.178843834,2.47127422919587e-231
MCM10,4.314983339,5.56380280057536e-229
SPC24,3.965818228,7.61316499218469e-229
CBX2,3.792865459,1.1353313685668e-228
ANLN,4.514856123,3.27398650436573e-228
TRIP13,3.556104428,4.96906091453359e-227
NEK2,4.923721192,4.0501302015666e-226
HMGB3,3.038076995,4.20276821011458e-226
KPNA2,2.83416214,1.05929919213336e-225
CENPF,4.245062481,4.44026963973653e-225
ORC6,3.608103924,1.73057179008687e-224
RAD51,3.258309172,4.73859403186248e-223
TROAP,4.3609754,5.15464080890661e-223
NCAPH,3.704184635,1.96300310272327e-222
EZH2,3.236486274,5.25034970839339e-222
AUNIP,3.278778093,4.52388903856293e-219
SKA3,4.076884012,5.5408695621855e-218
CCNA2,3.958221048,6.26509680229892e-218
MYBL2,4.987455627,1.3946604559608e-214
IQGAP3,4.661288516,2.30906661877848e-214
GINS1,3.209447123,1.38528366006992e-213
KIF23,3.545262008,1.66241676249389e-213
CDKN3,3.657934873,1.8057282120911e-213
TACC3,3.072744523,1.70352489941725e-212
UBE2S,3.427916885,1.24920460400402e-211
